,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
313,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,118.0,157,61.0,82,brazil
871,fuck 3x,tha Supreme,trap italiana,2019,180.0,161,7.0,82,italy
872,Holly Jolly Christmas,Michael Bublé,adult standards,2011,151.0,122,86.0,82,italy
315,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,152.0,173,22.0,82,brazil
873,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,172.0,255,45.0,82,italy
316,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,135.0,157,48.0,82,brazil
317,Sentou e Gostou,MC JottaPê,funk carioca,2019,131.0,163,26.0,82,brazil
318,Quando a vontade bater (Participação especial de PK Delas),Pk,brazilian edm,2019,150.0,166,54.0,82,brazil
319,menina solta,Giulia Be,pop nacional,2019,92.0,150,33.0,82,brazil
314,Quarta Cadeira - Ao Vivo,Matheus & Kauan,pop nacional,2019,76.0,224,59.0,82,brazil
665,Holly Jolly Christmas,Michael Bublé,adult standards,2011,151.0,122,86.0,82,france
664,Popopop,Gambi,pop urbaine,2019,130.0,156,5.0,82,france
309,SENTADÃO,Pedro Sampaio,baile pop,2019,174.0,143,18.0,83,brazil
310,Tijolão - Ao Vivo,Jorge & Mateus,sertanejo,2019,119.0,175,47.0,83,brazil
311,Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,146.0,159,49.0,83,brazil
312,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,150.0,120,46.0,83,brazil
424,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180.0,242,36.0,83,germany
768,Takeaway,The Chainsmokers,electropop,2019,100.0,210,13.0,83,indonesia
306,Some que ele vem atrás,Anitta,baile pop,2019,180.0,195,7.0,84,brazil
308,Gaiola É o Troco,MC Du Black,funk carioca,2019,150.0,187,42.0,84,brazil
870,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,93.0,207,88.0,84,italy
765,On My Way,Alan Walker,electro house,2019,170.0,194,2.0,84,indonesia
767,So Am I,Ava Max,dance pop,2019,130.0,183,7.0,84,indonesia
423,Rudolph The Red-Nosed Reindeer,Dean Martin,adult standards,1959,136.0,136,92.0,84,germany
422,My Only Wish (This Year),Britney Spears,dance pop,2019,147.0,255,23.0,84,germany
421,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,93.0,207,88.0,84,germany
307,Hit Contagiante,Felipe Original,brega funk,2019,170.0,137,13.0,84,brazil
713,On My Way,Alan Walker,electro house,2019,170.0,194,2.0,84,india
766,Can We Kiss Forever?,Kina,pop,2018,110.0,188,89.0,84,indonesia
305,Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,108.0,188,63.0,84,brazil
304,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,152.0,182,24.0,85,brazil
420,Feliz Navidad,José Feliciano,latin pop,2001,149.0,182,53.0,85,germany
303,Supera - Ao Vivo,Marília Mendonça,sertanejo,2019,132.0,148,6.0,85,brazil
869,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,dance pop,2017,93.0,157,2.0,85,italy
867,Last Christmas,Wham!,new wave pop,1984,108.0,263,19.0,85,italy
574,Last Christmas,Wham!,new wave pop,1984,108.0,263,19.0,85,spain
663,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122.0,177,2.0,85,france
662,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,126.0,170,4.0,85,france
524,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,88.0,233,11.0,85,chile
764,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102.0,220,9.0,85,indonesia
868,Feliz Navidad,José Feliciano,latin pop,2001,149.0,182,53.0,85,italy
419,Last Christmas,Wham!,new wave pop,1984,108.0,263,19.0,85,germany
661,Last Christmas,Wham!,new wave pop,1984,108.0,263,19.0,85,france
301,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,150.0,158,38.0,86,brazil
302,Surtada - Remix Brega Funk,Dadá Boladão,brega funk,2019,154.0,153,25.0,86,brazil
866,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,140.0,268,36.0,86,italy
762,comethru,Jeremy Zucker,pop,2018,94.0,182,61.0,86,indonesia
763,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93.0,198,12.0,86,indonesia
472,Blanco,J Balvin,latin,2019,100.0,146,3.0,87,colombia
416,Do They Know It's Christmas? - 1984 Version,Band Aid,adult standards,2004,115.0,223,16.0,87,germany
623,Do They Know It's Christmas? - 1984 Version,Band Aid,adult standards,2004,115.0,223,16.0,87,usa
572,Blanco,J Balvin,latin,2019,100.0,146,3.0,87,spain
370,Do They Know It's Christmas? - 1984 Version,Band Aid,adult standards,2004,115.0,223,16.0,87,canada
371,Blue Christmas,Elvis Presley,adult standards,1957,95.0,129,90.0,87,canada
